TAPER_RATIO,ASPECT_RATIO,ASPECT_RATIO_CONTRIBUTION
0,1.1857844175778265,-0.004621149229645211
0,0.994997155507467,-0.0056561142646102455
0,1.2859004083735828,-0.0041948648366558795
0,1.5414420331960157,-0.0032546626737212266
0,1.812949631860576,-0.0025654504143179675
0,2.1309475152028012,-0.0019918178517489655
0,2.574697098680092,-0.0013696673851146231
0,3.062894275850333,-0.0008992584147578392
0,3.569016690213152,-0.0005682079114914902
0,3.996225585332165,-0.0004015357707039162
0,4.459632486356287,-0.0002619563924229412
0,4.930076054709818,-0.0001268571968916386
0,5.386435902563906,0.00002166438091706982
0,5.8499938501800655,0.00009635036709454946
0,6.313459371742792,0.00021074489647707716
0,6.794560317598424,0.0002951403106397389
0,7.240542999516069,0.0003739797759211216
0,7.704080413294657,0.00045748761206438216
0,7.984947579196297,0.0005358522074939993
0.5,0.9895269148462695,-0.008029738344319285
0.5,1.3283437812585905,-0.0062233052060836225
0.5,1.0830268265386263,-0.007594742800253705
0.5,1.1870167801524643,-0.006991706341878557
0.5,1.5833821801071561,-0.005217254234475818
0.5,1.9042981939668806,-0.0042329878311508605
0.5,2.207275113974579,-0.0033901230801345605
0.5,2.8150391972017053,-0.0024277292635501574
0.5,2.4845074417890274,-0.0029576003789551428
0.5,3.10439356393044,-0.0021258259536101097
0.5,3.5776614856638087,-0.0016948155695676818
0.5,4.0371122871982195,-0.0013649209573434583
0.5,4.503875430098856,-0.001157942985935887
0.5,4.9706869266193126,-0.0009717389384438727
0.5,5.430432582961848,-0.0007685213231607129
0.5,5.893764222317999,-0.0005966076507773633
0.5,6.357163409278816,-0.0004537141180497844
0.5,6.834672439242415,-0.0003354658480950118
0.5,7.284191009009583,-0.0002664081908419682
0.5,7.690742133863297,-0.00020016597534601964
0.5,8.000548895641035,-0.00012956733278202733
1,1.0187222719578957,-0.011247618818227313
1,1.1948945314391315,-0.009960101322328645
1,1.4224159606974505,-0.008509694668133243
1,1.5671247223247509,-0.007716909668976257
1,1.805453725857971,-0.0066352315881592575
1,2.090384630237458,-0.005695524529049213
1,2.4045379224738586,-0.004824471866951775
1,2.7974497958807962,-0.003973058323230538
1,3.2698214473167484,-0.0032222558779285634
1,3.748623283861794,-0.0026967256728241996
1,4.211439848947978,-0.002303523217206548
1,4.674406017707882,-0.0019745942399110117
1,5.137581901167162,-0.001735763940335487
1,5.600804766681052,-0.0015171183059712436
1,6.051434733049375,-0.0013218148097596987
1,6.527511523217766,-0.001191970121518184
1,6.990900102350527,-0.0010445192006615645
1,7.454438285157008,-0.0009613417581270612
1,7.985157419424264,-0.000865100711254555
