TAPER_RATIO,SWEEP_50,ASPECT_RATIO,DIHEDRAL_CONTRIBUTION
0,0,0.03432460423139494,-0.000001722148246782046
0,0,0.49746017655471775,-0.000029269122651279927
0,0,1.0811757163288451,-0.000055107264388223106
0,0,1.8712827341322678,-0.00008354194407456691
0,0,2.62736104946491,-0.00010509690782660149
0,0,3.589929476747053,-0.00012752922029886057
0,0,4.5871184100212075,-0.00014652611333037407
0,0,5.7564235340533605,-0.0001655378014499187
0,0,6.547615524979041,-0.0001750613996153276
0,0,7.235636435370123,-0.0001828569314987423
0,0,7.940868964837008,-0.00019065394289096013
0,40,0.05138827242688704,-0.000004302411599348653
0,40,0.5317847807861122,-0.00003099127089806197
0,40,1.046900429057553,-0.000052525521526852834
0,40,1.9058046062040734,-0.00008182571386299725
0,40,2.730778714800019,-0.00010252700103565609
0,40,3.521526853084775,-0.00011978695073235686
0,40,4.622034817773833,-0.00013793312620210098
0,40,5.4476007298910085,-0.00014831927799970382
0,40,6.376436356462986,-0.00015871430685012572
0,40,7.374167776298269,-0.00016825565912117178
0,40,7.976377176110865,-0.00017174582038763137
0,60,0.017112985155594895,-0.000001720668737979032
0,60,0.635153129161119,-0.000029280958721704473
0,60,1.6486659762292248,-0.00006375203432460418
0,60,2.559599546283967,-0.00008617990827045432
0,60,3.935296148345416,-0.00010778813433939946
0,60,5.105045125018493,-0.000119063470927652
0,60,6.1028258618138755,-0.00012774522858411015
0,60,6.894313754500172,-0.00013211125906199166
0,60,7.943975933323469,-0.0001364994821719187
0.5,0,0.017240532442655,-0.0000017181590451230454
0.5,0,0.5435925143671101,-0.000030013261948016296
0.5,0,1.1726509160567806,-0.00006089002406796319
0.5,0,2.007122157276881,-0.00009693010462201782
0.5,0,2.723365587700772,-0.0001244029667468767
0.5,0,3.6799941058008745,-0.00015533572375851768
0.5,0,4.484404931479941,-0.00017598605039538583
0.5,0,5.306547472862126,-0.00019493000638536582
0.5,0,6.163907854020336,-0.00021131587995479447
0.5,0,7.089984773318926,-0.0002285682007957004
0.5,0,7.914092047743014,-0.0002406748857998753
0.5,40,8.881784197001252e-16,-0.0000017152119455601756
0.5,40,0.8667419814332726,-0.000045453116557771125
0.5,40,1.4288029863942242,-0.0000694808192936619
0.5,40,2.2982464757601067,-0.00010381747630039103
0.5,40,2.913502627830445,-0.00012272606709561658
0.5,40,3.768898275946757,-0.00014594921165085053
0.5,40,4.659757355469327,-0.0001657596149123073
0.5,40,5.414165725232086,-0.0001804184881379077
0.5,40,6.135075396630483,-0.0001916528316714801
0.5,40,7.027899209194952,-0.00020462596394713213
0.5,40,7.955695269905205,-0.0002158956726754587
0.5,60,0.051230414067489516,-0.000003433370990700026
0.5,60,0.5605874551795287,-0.00003087086792080446
0.5,60,1.1908738150203844,-0.00005747433567462358
0.5,60,1.7371678373201052,-0.00007637113807159798
0.5,60,2.6263077754310142,-0.00010216415344563399
0.5,60,3.328503364605335,-0.00011852350311899725
0.5,60,4.3582690701900875,-0.00013493884768405427
0.5,60,5.216857409499485,-0.00014705142688735537
0.5,60,6.007465985559214,-0.0001557335821995024
0.5,60,7.04042438233705,-0.00016103836141262635
0.5,60,7.986934525271388,-0.00016718306400116234
1,0,0.016972520444172634,-0.0000017291066282256818
1,0,0.41047617625539523,-0.000023342939481251564
1,0,0.8214003075958258,-0.000044092219020156473
1,0,1.3353541084947214,-0.00006829971181554549
1,0,2.175220120151508,-0.00010547550432275012
1,0,3.05037503795175,-0.00013832853025934946
1,0,4.1842986765415855,-0.00017291066282419098
1,0,5.284575910966436,-0.0002023054755043062
1,0,6.007426099854164,-0.00021700288184436383
1,0,6.695883292768509,-0.00023083573487030044
1,0,7.315703812097772,-0.0002420749279538739
1,0,7.987188484567947,-0.00025417867435156843
1,40,-0.017420475529208,-8.645533141046552e-7
1,40,0.7016967543165453,-0.000037175792507188206
1,40,1.2156505552154417,-0.00006138328530257717
1,40,1.952636215675441,-0.00009423631123917661
1,40,2.622030431082109,-0.0001184438040345656
1,40,3.39505158949396,-0.00014265129682995465
1,40,4.289269484801877,-0.00016512968299710164
1,40,5.356348270146779,-0.00018674351585012754
1,40,6.354939700268274,-0.00020489913544666935
1,40,7.216407101581278,-0.00021700288184436386
1,40,7.974396878250784,-0.00022824207492793736
1,60,0,0
1,60,0.3763818170053721,-0.000020749279538888484
1,60,0.9585243364043148,-0.00005014409221900377
1,60,1.8165574153987043,-0.00008213256484148213
1,60,2.7100287188982293,-0.00010893371757923423
1,60,3.398336593450896,-0.00012363112391929184
1,60,4.500554966577574,-0.00014178674351583365
1,60,5.4311069965606995,-0.0001538904899135282
1,60,6.431490247022341,-0.00016167146974061753
1,60,7.293704240143742,-0.00016945244956770688
1,60,7.9836546166748805,-0.00017463976945243312
