AR_SWEPT,LF_TO_B_RATIO,K_FUSELAGE
4,1.2802707669277906,0.9978629989471897
4,1.3672151189091961,0.9945755218127228
4,1.4148874229174007,0.989322115545531
4,1.4647786285322255,0.9844267184272386
4,1.513559317796858,0.9789474089193335
4,1.562339460310889,0.9732603341826669
4,1.596930773187526,0.9698954459835555
4.5,1.0279283296120867,0.9991567126774692
4.5,1.1050415981975217,0.99050553292551
4.5,1.1586997375925752,0.9842431499706594
4.5,1.206268751331226,0.9780496504259907
4.5,1.2590263353667388,0.9705370923076259
4.5,1.3094642953154179,0.9627021917123086
4.5,1.3626759967416924,0.9553583008948698
4.5,1.4114490980837793,0.9469955808194427
4.5,1.4597256900083908,0.9372536379627513
4.5,1.513420068628598,0.9260327249804838
4.5,1.5648529984499806,0.9170153053973612
4.5,1.5976590911503088,0.9095264312943195
5.5,0.5457542106248671,0.9988836767289929
5.5,0.5973336227003034,0.9933908146228317
5.5,0.6519021868682245,0.9865952870180283
5.5,0.6973535652248579,0.9802147345204775
5.5,0.7433072928894972,0.9731758732999775
5.5,0.7961678096971404,0.9637311159273176
5.5,0.8492150497309957,0.9540936532309562
5.5,0.8983541942892294,0.9443565883969751
5.5,0.9469107447173609,0.9339735306726368
5.5,1.000173602293741,0.9219882739991034
5.5,1.0476053791088344,0.9096169944862899
5.5,1.0963664295465763,0.896674930759752
5.5,1.1451292182490216,0.8843934076206796
5.5,1.19442548239495,0.8707974081955343
5.5,1.2312485515608784,0.8599841273042392
5.5,1.271457258747061,0.848046518971243
5.5,1.320656733575515,0.8331408034422232
5.5,1.370693237745293,0.8179058326553578
5.5,1.4100897718737453,0.8050403327251425
5.5,1.4557677193690246,0.7911088749834743
5.5,1.5082886760293932,0.7741293535316671
5.5,1.5529038715411954,0.7590350071660733
5.5,1.5905850602137481,0.7498684795015115
6,0.38586516436965557,0.9979611664587387
6,0.4445354586806096,0.9913388035148181
6,0.49331629785850073,0.9859164610450843
6,0.5420935331575976,0.9791246446335231
6,0.5908674233886192,0.9710617023534089
6,0.6288053551567995,0.965810373097669
6,0.6763797954950942,0.9568141929538536
6,0.7194509210560824,0.9489639367183893
6,0.7682200398575235,0.9390878511976661
6,0.8156581720963624,0.9291316327081286
6,0.8746163428089869,0.9141021071500635
6,0.9233842086762923,0.9037499066577865
6,0.9721476892741229,0.8917313037650713
6,1.0194338986049318,0.8802326869819455
6,1.0696676698367424,0.8650414574238411
6,1.1184255122309625,0.8508803371591338
6,1.1671830861392962,0.836617192257665
6,1.214828722363564,0.821230028094482
6,1.2646939416890328,0.8064598410208068
6,1.31344879965703,0.791164638791521
6,1.3629387628303877,0.7742678808100846
6,1.4102161584525728,0.7594200547499526
6,1.4591185878680752,0.7440136958147728
6,1.508459254909012,0.7265727142712304
6,1.5572112319750744,0.710182769306676
6,1.5941477784285196,0.698993732170153
7,0.19833121604206985,0.9986468742182073
7,0.24492759575683773,0.9945650154883308
7,0.29405915815022443,0.992752171619718
7,0.34186290305354217,0.9865063570612083
7,0.3852273327728335,0.9806539405437501
7,0.43561672955073627,0.9735201396299252
7,0.4843910269853521,0.9656119347155663
7,0.5246644882506456,0.9582136240312568
7,0.5657813405848401,0.9502278809134312
7,0.6661704339085784,0.9301692534686555
7,0.7109934249051557,0.9191194489739021
7,0.7618543675300876,0.9081354039777695
7,0.8113551203288228,0.8953387036398823
7,0.8630769604350456,0.8837305787806147
7,0.9365824378708271,0.8621293923804866
7,0.9866708510373444,0.847890404768744
7,1.0340970487157222,0.8333990533040259
7,1.08285220625108,0.8182176866717032
7,1.1291443040980709,0.8035454177562618
7,1.1759277050140398,0.7882739591932317
7,1.2291106982241122,0.7700209462189358
7,1.2778633588407284,0.753890750464731
7,1.3243983260372123,0.7378616564270538
7,1.3753646259370789,0.7200897869412224
7,1.4285458688489583,0.701171660653624
7,1.4623922332148864,0.6905598442868939
7,1.5127512702860375,0.6718893548075195
7,1.5588713694629552,0.6553858119678803
7,1.5951723857049214,0.6388380431404952
8,0.05170902764528959,0.9991223955653501
8,0.12071831441147116,0.9932157807866197
8,0.16950144912641227,0.9886657423959049
8,0.2201853417322139,0.9839826156464175
8,0.27023027021969515,0.9773001528970595
8,0.3183773839330304,0.9718691628580218
8,0.3668376225074238,0.965022105540161
8,0.41846244029741697,0.9566800053406082
8,0.4735688999570663,0.9469231563197091
8,0.5264554463936313,0.9364238838935417
8,0.5739933415049776,0.926918685784985
8,0.630640016976804,0.9138044412623125
8,0.6846605547510032,0.8994675653896101
8,0.728163628750565,0.88849445515476
8,0.7769262316898026,0.8761423419967392
8,0.8246998507015774,0.862565048121359
8,0.870011093898044,0.8497567237253258
8,0.9169968220488939,0.8364518720732284
8,0.9680821185821878,0.821757493221598
8,1.0145794955637348,0.8076522829186858
8,1.0668040530715552,0.7882566082928351
8,1.1124527215090565,0.7725638263883774
8,1.1630273720971722,0.7558007031247017
8,1.2107291811925271,0.7383474354921474
8,1.2369869004069418,0.7288092107738666
8,1.279531407954602,0.7134897326433534
8,1.327393903615474,0.696226694253002
8,1.3788827637635988,0.6778146315095783
8,1.4270705411422562,0.6592084252556143
8,1.461351827600054,0.6454704800497795
8,1.495342554390931,0.6337006469154742
8,1.527657189809908,0.6220157670445565
8,1.567283763035363,0.6062082522973686
8,1.5983066758424893,0.5937255467451182
