TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_025_X,TAPER_RATIO_025_Y,TAPER_RATIO_05_X,TAPER_RATIO_05_Y,TAPER_RATIO_1_X,TAPER_RATIO_1_Y
1.0044976517418878,0.11247443762781018,1.0250304096939828,1.2781186094069508,1.053401742715753,2.525562372188137,1.0008352308319477,3.742331288343559
1.1493704281883783,0.41922290388548156,1.2023843851607303,1.5644171779141072,1.1897067743186405,2.975460122699385,1.153314573783696,4.20245398773006
1.294309492796133,0.705521472392638,1.3233437074305723,1.74846625766871,1.3184383834968987,3.261758691206543,1.2415275443882123,4.488752556237217
1.4232731105388243,0.9202453987730017,1.5006976828973215,2.03476482617587,1.47141488765814,3.568507157464211,1.3782303049586933,4.815950920245398
1.5845853509792427,1.1554192229038804,1.7587574947052342,2.42331288343558,1.5921753454441845,3.813905930470346,1.5069619141369444,5.102249488752555
1.7944205254662542,1.4212678936605236,1.9039617119580523,2.627811860940694,1.7695293209109355,4.100204498977503,1.6841833132811637,5.429447852760735
2.1013678562077214,1.7280163599182004,2.0815808400698668,2.8323108384458067,1.9550533122537033,4.366053169734149,1.837424970087465,5.654396728016359
2.2953270160715658,1.8916155419222882,2.3723207153818358,3.139059304703478,2.1487473194724824,4.611451942740286,2.006874082323268,5.879345603271983
2.7966975238057366,2.2188139059304692,2.7439984355993943,3.4764826175869157,2.4314828993115984,4.887525562372186,2.345904883117397,6.2883435582822065
3.2982006078624373,2.5051124744376256,3.1644642425086094,3.7627811860940668,2.7384965182143297,5.173824130879344,2.7094125874589405,6.646216768916155
3.7675539337052104,2.709611451942738,3.6821084938335424,4.069529652351736,3.158862892881645,5.490797546012268,2.911442330956902,6.8200408997955
4.1884506136626545,2.8629856850715747,4.021901608482233,4.243353783231083,3.401444419033984,5.6543967280163585,3.347916728811816,7.167689161554191
4.609281005458829,3.036809815950919,4.313238077245593,4.366053169734149,3.627951066079353,5.777096114519426,3.7522082243721684,7.4437627811860905
5.046418284926402,3.1799591002044973,4.685479246833911,4.52965235173824,4.016200826613371,6.002044989775049,4.059553284081227,7.627811860940693
5.386542840381422,3.2515337423312847,5.17104002810618,4.7341513292433515,4.210358850961013,6.104294478527606,4.269885619777735,7.740286298568506
5.9047836851577475,3.374233128834355,5.510932574996767,4.877300613496931,4.6634384332130185,6.329243353783228,4.658201668473017,7.944785276073619
6.2287339292639015,3.435582822085884,5.964343598055105,4.999999999999999,5.116783168110089,6.472392638036808,5.014235382631838,8.108384458077708
6.601273395577916,3.5071574642126766,6.401480877522678,5.143149284253577,5.715729849227575,6.697341513292433,5.257015773267971,8.210633946830267
7.13585427210627,3.5889570552147205,7.097904299781579,5.296523517382412,6.379638928385583,6.881390593047034,5.742642842701507,8.394683026584868
7.638119670017533,3.6400817995910018,7.567655354591945,5.378323108384457,7.108311541100317,7.085889570552148,6.455041711825475,8.61963190184049
8.0755552462108,3.6912065439672777,8.312900007623135,5.470347648261758,7.8049006837623836,7.188139059304703,6.8273823136556935,8.752556237218814
8.545438877343699,3.7321063394683005,8.97710738350684,5.562372188139058,8.226095660445537,7.249488752556237,7.297133368466058,8.83435582822086
8.99924762936963,3.7321063394683005,9.495646525008866,5.593047034764824,8.712153602927284,7.300613496932516,7.750610679685657,8.936605316973415
9.420641470536566,3.7321063394683005,9.98180389973253,5.6134969325153365,9.068651334214962,7.321063394683026,8.090801523301945,8.987730061349694
9.752828018679999,3.752556237218812,,,9.441356520932143,7.341513292433539,8.609174944400802,9.069529652351738
10.004109865998483,3.7321063394683005,,,10.000414301007908,7.372188139059304,9.143822109090426,9.130879345603272
,,,,,,9.581357117525592,9.151329243353784
,,,,,,9.994580942816519,9.171779141104295
