TOC_21_X,TOC_21_Y,TOC_18_X,TOC_18_Y,TOC_15_X,TOC_15_Y,TOC_12_X,TOC_12_Y,TOC_09_X,TOC_09_Y,TOC_06_X,TOC_06_Y,TOC_03_X,TOC_03_Y
0.04947589098532494,-0.3010738255033557,0.048951781970649894,-0.32120805369127514,0.05,-0.3542281879194631,0.04947589098532494,-0.38966442953020136,0.047903563941299784,-0.430738255033557,0.047903563941299784,-0.4677852348993289,0.04842767295597483,-0.5076510067114094
0.0741090146750524,-0.2934228187919463,0.07515723270440251,-0.31154362416107384,0.07358490566037736,-0.3409395973154362,0.07463312368972745,-0.37395973154362416,0.0730607966457023,-0.4093959731543624,0.07253668763102725,-0.44281879194630874,0.0741090146750524,-0.4774496644295302
0.09926624737945491,-0.2873825503355705,0.09874213836477988,-0.3030872483221476,0.09926624737945491,-0.329261744966443,0.09926624737945491,-0.3578523489932886,0.09979035639412998,-0.38845637583892617,0.09874213836477988,-0.41825503355704696,0.09926624737945491,-0.4468456375838926
0.12494758909853249,-0.28013422818791944,0.12389937106918239,-0.2934228187919463,0.12442348008385742,-0.3175838926174497,0.12442348008385742,-0.3433557046979866,0.12442348008385742,-0.3687248322147651,0.12442348008385742,-0.39248322147651005,0.12389937106918239,-0.4174496644295302
0.150104821802935,-0.2724832214765101,0.14958071278825996,-0.2857718120805369,0.15062893081761006,-0.30590604026845636,0.150104821802935,-0.327248322147651,0.150104821802935,-0.34818791946308725,0.14958071278825996,-0.3691275167785235,0.14905660377358487,-0.3912751677852349
0.1752620545073375,-0.2664429530201342,0.17473794549266244,-0.27691275167785234,0.17473794549266244,-0.29422818791946315,0.1752620545073375,-0.31275167785234903,0.1742138364779874,-0.3300671140939597,0.17473794549266244,-0.34697986577181206,0.1752620545073375,-0.3642953020134228
0.19937106918238992,-0.26040268456375837,0.19989517819706498,-0.2696644295302013,0.19989517819706498,-0.28456375838926173,0.19989517819706498,-0.2978523489932886,0.19989517819706498,-0.31234899328859056,0.19989517819706498,-0.3268456375838926,0.19937106918238992,-0.33932885906040267
0.22557651991614253,-0.2543624161073826,0.2250524109014675,-0.262013422818792,0.2245283018867924,-0.2732885906040269,0.2250524109014675,-0.2857718120805369,0.2250524109014675,-0.2954362416107383,0.22400419287211737,-0.3079194630872483,0.2245283018867924,-0.3175838926174497
0.2496855345911949,-0.24832214765100669,0.25020964360586995,-0.25516778523489936,0.24916142557651988,-0.2640268456375839,0.25020964360586995,-0.27288590604026847,0.2496855345911949,-0.28013422818791944,0.2496855345911949,-0.2893959731543624,0.25073375262054504,-0.2986577181208054
0.2748427672955974,-0.24389261744966445,0.2748427672955974,-0.2487248322147651,0.2753668763102725,-0.25476510067114094,0.2753668763102725,-0.262013422818792,0.2743186582809224,-0.2684563758389262,0.2748427672955974,-0.27489932885906043,0.2753668763102725,-0.28255033557046977
0.2994758909853249,-0.23865771812080533,0.29895178197064987,-0.24268456375838926,0.29895178197064987,-0.24671140939597314,0.3,-0.25194630872483226,0.3,-0.2567785234899329,0.3,-0.262013422818792,0.29895178197064987,-0.2684563758389262
0.32463312368972747,-0.23382550335570468,0.3251572327044025,-0.23664429530201342,0.32463312368972747,-0.23946308724832216,0.32463312368972747,-0.24268456375838926,0.32463312368972747,-0.24671140939597314,0.32463312368972747,-0.2503355704697987,0.32463312368972747,-0.25516778523489936
0.3497903563941299,-0.2297986577181208,0.34926624737945483,-0.23140939597315435,0.3497903563941299,-0.23261744966442954,0.34926624737945483,-0.23543624161073823,0.3497903563941299,-0.23825503355704697,0.3497903563941299,-0.24026845637583893,0.3497903563941299,-0.24308724832214768
0.37547169811320746,-0.22577181208053693,0.37494758909853243,-0.22778523489932884,0.37547169811320746,-0.22778523489932884,0.37547169811320746,-0.22899328859060403,0.37494758909853243,-0.2297986577181208,0.37494758909853243,-0.23140939597315435,0.37494758909853243,-0.23261744966442954
0.40010482180293494,-0.22255033557046983,0.40062893081761003,-0.2221476510067114,0.40010482180293494,-0.22255033557046983,0.3995807127882599,-0.2233557046979866,0.40062893081761003,-0.2233557046979866,0.40010482180293494,-0.22255033557046983,0.40010482180293494,-0.22255033557046983
