AR_SWEPT,M_SWEPT,DIHEDRAL_COMPRESSIBILITY_CORRECTION
2,0.0,1.0
2,0.40143935200023295,1.0103027301069316
2,0.4429766032458261,1.0104286005652516
2,0.4829754377786196,1.010549809154745
2,0.5198683022056468,1.0136919087439178
2,0.5659916669094726,1.0168619795460505
2,0.6028845313364996,1.0200040791352234
2,0.6428542291891263,1.0231555024620498
2,0.6920544273185513,1.0263348970018358
2,0.7412400571078931,1.0310293989102886
2,0.7935025203228344,1.0357332245563942
2,0.8519040820488913,1.0419708050464733
2,0.8903207948486344,1.0466326738731389
2,0.9210599924244628,1.049756125987005
2,0.945630954809009,1.0543760379942309
4,0.0,1.0
4,0.40429999580816267,1.027920427821851
4,0.44836385287463065,1.0325369106377287
4,0.48318572375165025,1.03831995715624
4,0.5180103241288009,1.0438191356610802
4,0.5528281007556234,1.050027984200098
4,0.5886995175067998,1.0565751573131872
4,0.6224404532581503,1.0648585593943376
4,0.6572200168831325,1.0750415601247503
4,0.6928183760064631,1.0825075021570694
4,0.7268178340637229,1.0913838088003942
4,0.7615750627467689,1.103889643492137
4,0.7963425600734547,1.1153275392453512
4,0.8311151055079103,1.1262404317904853
4,0.8658564561310519,1.140397584712293
4,0.9008450767202688,1.1563178855390137
4,0.9291625502515098,1.1710790316417377
4,0.956299791741341,1.184661872377951
6,0.0,1.0
6,0.4,1.05
6,0.6125465501756121,1.1045724024159864
6,0.6472919620308043,1.1183071872045498
6,0.6820483689288642,1.1308984875348171
6,0.7154495349874627,1.1470387132854627
6,0.7525429178859747,1.1638975289593176
6,0.7874746886861411,1.1857302078473015
6,0.8208356715378534,1.2060494871140852
6,0.8554521475299809,1.2331936016613443
6,0.8884837392707808,1.2602903320863212
6,0.912021218253538,1.285522711785382
6,0.934343281644696,1.3112857368334399
6,0.951622917120834,1.3327078024397494
8,0.0,1.0
8,0.0,1.0
8,0.4,1.05
8,0.7502565488724225,1.225812870357674
8,0.7684616456652927,1.2356153721619392
8,0.8156776889140419,1.2753328655860376
8,0.8483665016637368,1.3105993867092025
8,0.8749562001442951,1.3481516311577166
8,0.8943535141701523,1.376038728701268
8,0.9226179277535703,1.429189762193842
8,0.9520301607416571,1.4871411694753167
8,0.9083388452237752,1.4021183157449213
10,0.12525599941377374,1.0011830334477279
10,0.16006056144452951,1.0087661999776638
10,0.19490451779304274,1.0122523574608258
10,0.2297407185457523,1.016545096907564
10,0.26455440092237736,1.023179747467088
10,0.2993585300485423,1.0308079360744615
10,0.3341667424188556,1.0380114672904155
10,0.3689599645505436,1.0467739833233853
10,0.40374498717578844,1.056389248026456
10,0.43850407954978443,1.0687012588594018
10,0.47325319677477873,1.0820506851885456
10,0.5072000099651212,1.0964020579912486
10,0.5427076381561254,1.1133040169855328
10,0.5774271747903134,1.1297298247585341
10,0.6104219837512191,1.1479692453493673
10,0.6508141482553386,1.1770413710995289
10,0.6813991118309294,1.1984212257200415
10,0.7138486516661336,1.2226377596114368
10,0.7474197909299262,1.2570351423606625
10,0.7786885090854677,1.2928446868713417
10,0.7989422407599304,1.3175738595785456
10,0.8273260816629312,1.3554235654079325
10,0.8504556742716093,1.3938240504489108
10,0.8639919832275108,1.419589668144743
10,0.9030269136563943,1.4990041167155186
10,0.8830217981916048,1.4582491018275319
10,0.9133567815772979,1.5239759266683608
10,0.9302346100015005,1.5676845406344098
10,0.9423670047855216,1.6028757785717
10,0.953060541905124,1.633942747311294
