X_06,Y_06,X_10,Y_10
-0.010701545778834642,0.0016096579476860828,-0.0047562425683709275,0.004024144869215318
0.0011890606420927874,0.3999999999999999,0.03686087990487519,0.2020120724346075
0.1557669441141496,0.798390342052314,0.10225921521997616,0.39517102615694166
0.5065398335315101,1.1629778672032196,0.19738406658739605,0.6028169014084508
0.5541022592152198,1.199195171026157,0.3341260404280617,0.8032193158953722
0.8751486325802615,1.3971830985915494,0.5065398335315101,0.9746478873239437
1,1.4551307847082495,0.5362663495838287,0.9987927565392355
1.4994054696789536,1.5927565392354126,0.8097502972651602,1.199195171026157
1.8799048751486322,1.6362173038229377,1,1.310261569416499
1.998810939357907,1.6338028169014085,1.2378121284185493,1.3995975855130784
2.206896551724138,1.6072434607645876,1.5053507728894175,1.459959758551308
2.4982164090368606,1.529979879275654,1.820451843043995,1.5034205231388331
2.8311533888228295,1.404426559356137,2.004756242568371,1.5058350100603624
3.0095124851367414,1.3488933601609658,2.4803804994054692,1.4237424547283704
3.5029726516052317,1.2088531187122737,2.5457788347205703,1.4068410462776662
3.556480380499406,1.199195171026157,2.9976218787158135,1.2643863179074448
4.002378121284186,1.1388329979879277,3.2592152199762188,1.2016096579476863
4.507728894173603,1.1002012072434608,3.4910820451843048,1.155734406438632
5.007134363852556,1.0663983903420524,3.996432818073722,1.0953722334004024
5.50653983353151,1.0519114688128774,4.507728894173603,1.0663983903420524
6,1.0422535211267605,5.007134363852556,1.047082494969819
6.499405469678954,1.032595573440644,5.500594530321046,1.035010060362173
6.998810939357907,1.0277665995975855,5.988109393579071,1.0374245472837023
,,6.487514863258025,1.032595573440644
,,6.992865636147442,1.0229376257545273
