X_1_0,Y_1_0,X_0_5,Y_0_5,X_0_333,Y_0_333,X_0_2,Y_0_2
0,0,0,0,0,0,0,0
0.10099889,0.023051771,0.002599388,0.000359897,0.032428356,0.009922078,0.02967033,0.01015873
0.136514983,0.029918256,0.036850153,0.010025707,0.076772247,0.019688312,0.064835165,0.02
0.203107658,0.041689373,0.101070336,0.024421594,0.102111614,0.025818182,0.103296703,0.027195767
0.266370699,0.049754768,0.12675841,0.029974293,0.123227753,0.029974026,0.117582418,0.02994709
0.305216426,0.053896458,0.181345566,0.039742931,0.178129713,0.03974026,0.171428571,0.03957672
0.377358491,0.059673025,0.20382263,0.043239075,0.204524887,0.043688312,0.202197802,0.044232804
0.405105438,0.06119891,0.303363914,0.055167095,0.253092006,0.049818182,0.252747253,0.04994709
0.448390677,0.062724796,0.347247706,0.057943445,0.304826546,0.054701299,0.304395604,0.053756614
0.48390677,0.062615804,0.401834862,0.060205656,0.346003017,0.057194805,0.357142857,0.055767196
0.503884573,0.062288828,0.441437309,0.060616967,0.405128205,0.058441558,0.405494505,0.056190476
0.56936737,0.06,0.50351682,0.059691517,0.464253394,0.057506494,0.504395604,0.052910053
0.602663707,0.058038147,0.550611621,0.057532134,0.505429864,0.05625974,0.551648352,0.04962963
0.658157603,0.054332425,0.603058104,0.054138817,0.564555053,0.053142857,0.604395604,0.044867725
0.703662597,0.049754768,0.649082569,0.050437018,0.601508296,0.05012987,0.658241758,0.039470899
0.786903441,0.039836512,0.700458716,0.044987147,0.704977376,0.040779221,0.701098901,0.035026455
0.802441731,0.038092643,0.8,0.032956298,0.803167421,0.028311688,0.748351648,0.02952381
0.852386238,0.029482289,0.890978593,0.019280206,0.866515837,0.019168831,0.8,0.023068783
0.901220866,0.020871935,0.900611621,0.017532134,0.899245852,0.014597403,0.827472527,0.01978836
0.958934517,0.009318801,0.9999999,0.00001,0.995324284,0.0001,0.897802198,0.011428571
1,0,1,0,1,0,1,0
