X_10,Y_10,X_15,Y_15,X_25,Y_25,X_30,Y_30,X_40,Y_40,X_50,Y_50
0,0.9997944355380878,0,0.999806071262347,0,0.999806071262347,0,0.9997944355380878,0,0.999806071262347,0,0.9997944355380878
9.755908362207165,1.0004344003723433,10.4659461136681,0.9987317060557482,8.869007602006512,1.0003762217510475,10.110668666287424,1.0004576718208618,9.223767906086778,1.0003994931995657,9.046387754046648,1.0003878574753065
12.773439520091017,0.993635258830222,12.950819672131146,0.9936468945544812,10.998603713088894,0.9970173760148939,12.773439520091017,0.993635258830222,10.998603713088894,0.9970173760148939,10.466980400268916,0.9952332316284844
15.616693385737179,0.9763290582820501,14.728241195635313,0.9815185913016499,13.306097119511819,0.9919209287893677,14.728241195635313,0.9815185913016499,12.776542379893463,0.9831398355484307,11.533847029011739,0.98655685990588
17.220354760304076,0.9519444588095363,16.15141955835962,0.9676177793866682,15.261415938356514,0.9780550240471636,15.97455654961989,0.9658569064487771,14.202823602420224,0.9587436003516576,13.316439985519992,0.9569361845167297
19.003982003413142,0.9188253089931222,18.11294409680923,0.9327610280808813,16.153488131561254,0.9606208305321406,16.868697316026264,0.9414257640792265,15.986967988829697,0.9238752133216116,15.105755804933544,0.9045754253503647
20.78916067642343,0.8804584475358124,19.71919118787816,0.8996302425402081,17.757149506128144,0.9362362310596268,17.763872369033457,0.9134961472824121,17.41893778766096,0.8802373687748877,16.53979417696643,0.8539406319491132
22.038578890210474,0.8543013394011483,20.614883384185752,0.8699513885297617,18.653875989036557,0.9030589026219167,18.66163313854269,0.8768203444174383,18.49666442571236,0.8348270155660135,17.619072244919067,0.8032825670993434
23.825826136422407,0.8089375290893108,21.68795573253349,0.8402841702435746,19.54801675544293,0.8786277602523661,19.20153074416921,0.8506166933857373,19.040699177742148,0.7946294668252574,18.164141283549675,0.7595865439313235
25.788384961472822,0.7705823033562602,22.582096498939855,0.815853027874024,20.088948647670264,0.8489256347934014,19.742979779696952,0.8191653307131408,20.48042612607953,0.7247530640740552,19.239799348399444,0.7211731395769769
27.570977917981068,0.7409616279671098,23.832031856027307,0.787946682525728,20.80932926513936,0.8122381962041683,20.46594611366809,0.7737317060557483,22.268707658892275,0.6758907793349539,20.673320577131918,0.6722875833893573
29.350985157987267,0.720087138646119,25.258830221854467,0.7618012101153231,21.529192739308066,0.7772999948285672,21.54108703521746,0.7370675389150335,24.76495836996431,0.6323227491337852,23.35108858664735,0.6147372912033926
32.553136474116975,0.6888103118374103,26.863525883022184,0.7339181362155455,23.136991260278215,0.7389214976469982,22.792056678905716,0.7056627191394738,27.613383668614567,0.5975241764492942,27.267414800641255,0.5677638723690336
36.28639395976625,0.661066866628743,28.466670114288668,0.7112827739566636,24.386926617365674,0.7110151522987022,24.93251279929668,0.6655698919170503,30.636603402802912,0.5714834255572221,32.24543621037389,0.5296064539483893
41.79397010911723,0.6316905414490357,30.780886383616895,0.6834462429539228,26.524797021254585,0.6796685111444383,27.78145524124735,0.6290220820189276,33.65878885039044,0.5489411490924136,39.17412214924755,0.493326265708228
46.234679629725385,0.6109905879919327,33.44831152712416,0.6608806950405959,28.127424109220662,0.6587823860991883,32.04995604281945,0.5908181207012464,37.56839220147902,0.5247078140352693,43.25903707917463,0.4761015152298703
51.20752960645394,0.5903255417076074,36.29259967937115,0.6400760200651603,30.795366396028335,0.6344676009722297,36.84904587061074,0.5578967781972386,44.140766406371206,0.49365206598748534,47.87609246522211,0.4589116719242903
55.468790401820335,0.5766109013807728,39.66902828773853,0.6193062522625021,33.64068883487614,0.6101644515695301,42.17872472462118,0.530258054506904,49.11258209649892,0.47648549413042374,53.55742876351035,0.44179164296426565
59.90691420592645,0.5646571339918293,43.93339194290737,0.5950961886538761,37.373429177225,0.5841702435744947,48.21792418679215,0.5026658737136063,54.26229508196719,0.4575813207839894,59.77090551791901,0.42470652117701835
0.3547603040802585,0.3998177069866061,48.018824016134865,0.5761222009618867,42.52624502249572,0.554770646946269,53.72291461964108,0.4820357346020584,59.76573408491492,0.4421988933133374,,
0.3547603040802585,0.3998177069866061,53.34643429694366,0.5554804261260797,47.85540673320576,0.5288811604695662,59.75952836531001,0.46318973987692014,,,,
-0.7084863215597039,0.39624941821378723,57.430832083570344,0.540004912861354,53.006154005274844,0.5064785126958681,,,,,,
,,59.91673992863421,0.5314216269328234,57.80110668666287,0.4875510679009154,,,,,,
,,,,59.93121994104565,0.48244298495113,,,,,,
