T,CV,CP,GAMMA
200,715.3,1002,1.400810849
220,715.5,1003,1.401816911
240,715.8,1003,1.401229394
260,716.2,1003,1.400446803
280,716.8,1004,1.400669643
300,717.7,1005,1.400306535
320,718.8,1006,1.399554814
340,720.2,1007,1.398222716
360,721.9,1009,1.397700513
380,723.9,1011,1.396601741
400,726.2,1013,1.394932525
420,728.9,1016,1.393881191
440,731.8,1019,1.392456955
460,735,1022,1.39047619
480,738.5,1026,1.38930264
500,742.3,1029,1.386231982
520,746.2,1033,1.38434736
540,750.4,1037,1.381929638
560,754.7,1042,1.380681065
580,759.2,1046,1.37776607
600,763.8,1051,1.376014664
620,768.5,1055,1.372804164
640,773.2,1060,1.370926022
660,778,1065,1.368894602
680,782.8,1070,1.366888094
700,787.6,1075,1.364906044
720,792.5,1079,1.361514196
740,797.3,1084,1.359588612
760,802,1089,1.357855362
780,806.8,1094,1.355974219
800,811.4,1098,1.353216663
820,816,1103,1.351715686
840,820.6,1108,1.350231538
860,825,1112,1.347878788
880,829.4,1116,1.345551001
900,833.7,1121,1.344608372
920,837.9,1125,1.34264232
940,842,1129,1.340855107
960,846,1133,1.339243499
980,850,1137,1.337647059
1000,853,1140,1.336459555
1020,857,1140,1.330221704
1040,861,1140,1.324041812
1060,864,1150,1.331018519
1080,868,1150,1.324884793
1100,871,1150,1.32032147
1120,874,1160,1.327231121
1140,878,1160,1.32118451
1160,881,1160,1.316685585
1180,884,1170,1.323529412
1200,887,1170,1.319052988
1220,890,1170,1.314606742
1240,893,1180,1.321388578
1260,895,1180,1.318435754
1280,898,1180,1.31403118
1300,901,1180,1.309655938
1320,903,1190,1.317829457
1340,906,1190,1.313465784
1360,908,1190,1.310572687
1380,910,1190,1.307692308
1400,913,1200,1.314348302
1420,915,1200,1.31147541
1440,917,1200,1.308615049
1460,919,1200,1.305767138
1480,921,1200,1.302931596
1500,923,1210,1.310942579
1520,925,1210,1.308108108
1540,927,1210,1.305285868
1560,929,1210,1.30247578
1580,931,1210,1.299677766
1600,933,1220,1.307609861
1620,935,1220,1.304812834
1640,936,1220,1.303418803
1660,938,1220,1.300639659
1680,940,1220,1.29787234
1700,941,1220,1.296493092
1720,943,1230,1.304347826
1740,945,1230,1.301587302
1760,946,1230,1.300211416
1780,948,1230,1.297468354
1800,949,1230,1.296101159
1820,951,1230,1.293375394
1840,952,1240,1.302521008
1860,953,1240,1.30115425
1880,955,1240,1.298429319
1900,956,1240,1.29707113
1920,957,1240,1.295715778
1940,959,1240,1.293013556
1960,960,1240,1.291666667
1980,961,1240,1.290322581
2000,963,1250,1.298026999
